source,target,assign
contrast,contrastTable,module
contrast,contrastSex,module
contrast,contrastTime,module
contrast,timePlot,module
contrast,contrastModule,module
contrastTable,traitOrder,module
contrastSex,contrastPlot,module
contrastModule,contrastPlot,module
contrastTime,timeTraits_contr,module
contrastTable,contrastSex,arg
contrastTable,contrastModule,arg
contrastTable,contrastTime,arg
contrastTime,timePlot,arg

stats,contrastPlot,module

time,timeTable,module
time,timePlot,module
timeTable,timePlot,arg
timeTable,traitOrder,module
timeTable,timeTraits,module
traitOrder,timeTraits,arg

trait,traitOrder,module
trait,traitNames,module
trait,corTable,module
trait,corPlot,module
trait,traitTable,module
trait,traitSolos,module
trait,traitPairs,module
traitOrder,traitNames,arg
traitNames,corTable,arg
corTable,corPlot,arg
traitNames,traitTable,arg
traitTable,traitSolos,arg
traitTable,traitPairs,arg

trait,download,download
contrastPlot,download,download
timePlot,download,download

